Vivado Simulator 2018.2
Time resolution is 1 ps
Time=0 | Enable=0 | BuzzerOut=x
Time=38562782000 | Enable=1 | BuzzerOut=1
Time=38762589000 | Enable=1 | BuzzerOut=0
Time=38962395000 | Enable=1 | BuzzerOut=1
Time=39162202000 | Enable=1 | BuzzerOut=0
Time=39362009000 | Enable=1 | BuzzerOut=1
Time=39561815000 | Enable=1 | BuzzerOut=0
Time=39761622000 | Enable=1 | BuzzerOut=1
Time=39961429000 | Enable=1 | BuzzerOut=0
Time=40161235000 | Enable=1 | BuzzerOut=1
Time=40361042000 | Enable=1 | BuzzerOut=0
Time=40560849000 | Enable=1 | BuzzerOut=1
Time=40760655000 | Enable=1 | BuzzerOut=0
Time=40960462000 | Enable=1 | BuzzerOut=1
Time=41160269000 | Enable=1 | BuzzerOut=0
Time=41360075000 | Enable=1 | BuzzerOut=1
Time=41559882000 | Enable=1 | BuzzerOut=0
Time=41759689000 | Enable=1 | BuzzerOut=1
Time=41959495000 | Enable=1 | BuzzerOut=0
Time=42159302000 | Enable=1 | BuzzerOut=1
Time=42359108000 | Enable=1 | BuzzerOut=0
Time=42558915000 | Enable=1 | BuzzerOut=1
Time=42758722000 | Enable=1 | BuzzerOut=0
Time=42958528000 | Enable=1 | BuzzerOut=1
Time=43158335000 | Enable=1 | BuzzerOut=0
Time=43358142000 | Enable=1 | BuzzerOut=1
Time=43557948000 | Enable=1 | BuzzerOut=0
Time=43757755000 | Enable=1 | BuzzerOut=1
Time=43957562000 | Enable=1 | BuzzerOut=0
Time=44157368000 | Enable=1 | BuzzerOut=1
Time=44357175000 | Enable=1 | BuzzerOut=0
Time=44556982000 | Enable=1 | BuzzerOut=1
Time=44756788000 | Enable=1 | BuzzerOut=0
Time=44956595000 | Enable=1 | BuzzerOut=1
Time=45156402000 | Enable=1 | BuzzerOut=0
Time=45356208000 | Enable=1 | BuzzerOut=1
Time=45556015000 | Enable=1 | BuzzerOut=0
Time=45755822000 | Enable=1 | BuzzerOut=1
Time=45955628000 | Enable=1 | BuzzerOut=0
Time=46155435000 | Enable=1 | BuzzerOut=1
Time=46355242000 | Enable=1 | BuzzerOut=0
Time=46555048000 | Enable=1 | BuzzerOut=1
Time=46754855000 | Enable=1 | BuzzerOut=0
Time=46954662000 | Enable=1 | BuzzerOut=1
Time=47154468000 | Enable=1 | BuzzerOut=0
Time=47354275000 | Enable=1 | BuzzerOut=1
Time=47554082000 | Enable=1 | BuzzerOut=0
Time=47753888000 | Enable=1 | BuzzerOut=1
Time=47953695000 | Enable=1 | BuzzerOut=0
Time=48153502000 | Enable=1 | BuzzerOut=1
